YEAR,EVENT_TYPE,EVENT_LABEL,COUNT
1992,D,Death,49
1992,IN,Injury,306
1992,M,Malfunction,237
1993,D,Death,50
1993,IN,Injury,444
1993,M,Malfunction,238
1993,O,Other,13
1994,D,Death,86
1994,IN,Injury,1118
1994,M,Malfunction,516
1994,O,Other,110
1995,D,Death,65
1995,IN,Injury,1117
1995,M,Malfunction,489
1995,O,Other,89
1996,D,Death,154
1996,IN,Injury,3231
1996,M,Malfunction,2588
1996,O,Other,176
1997,D,Death,269
1997,IN,Injury,7029
1997,M,Malfunction,6914
1997,O,Other,506
1998,D,Death,242
1998,IN,Injury,4436
1998,M,Malfunction,6886
1998,O,Other,547
1999,D,Death,209
1999,IN,Injury,3011
1999,M,Malfunction,6391
1999,O,Other,590
2000,D,Death,271
2000,IN,Injury,3123
2000,M,Malfunction,5734
2000,O,Other,736
2001,D,Death,348
2001,IN,Injury,3863
2001,M,Malfunction,6412
2001,O,Other,633
2002,D,Death,281
2002,IN,Injury,3947
2002,M,Malfunction,7721
2002,O,Other,719
2003,D,Death,326
2003,IN,Injury,4100
2003,M,Malfunction,7062
2003,O,Other,782
2004,D,Death,483
2004,IN,Injury,5423
2004,M,Malfunction,8659
2004,O,Other,1087
2005,D,Death,483
2005,IN,Injury,6061
2005,M,Malfunction,11287
2005,O,Other,1466
2006,D,Death,564
2006,IN,Injury,9068
2006,M,Malfunction,12374
2006,O,Other,1412
2007,D,Death,560
2007,IN,Injury,9640
2007,M,Malfunction,20009
2007,O,Other,1212
2008,D,Death,794
2008,IN,Injury,11896
2008,M,Malfunction,21022
2008,O,Other,1545
2009,D,Death,1010
2009,IN,Injury,15356
2009,M,Malfunction,26276
2009,O,Other,1410
2010,D,Death,1237
2010,IN,Injury,21028
2010,M,Malfunction,34466
2010,O,Other,1670
2011,D,Death,1969
2011,IN,Injury,30071
2011,M,Malfunction,54901
2011,O,Other,1289
2012,D,Death,2042
2012,IN,Injury,38694
2012,M,Malfunction,54254
2012,O,Other,1074
2013,D,Death,2193
2013,IN,Injury,52303
2013,M,Malfunction,78277
2013,O,Other,1197
2014,D,Death,5071
2014,IN,Injury,45920
2014,M,Malfunction,118700
2014,O,Other,835
2015,D,Death,3470
2015,IN,Injury,49535
2015,M,Malfunction,118217
2015,O,Other,248
2016,D,Death,1776
2016,IN,Injury,54926
2016,M,Malfunction,116119
2016,O,Other,89
2017,D,Death,1989
2017,IN,Injury,60807
2017,M,Malfunction,124407
2017,O,Other,8
2018,D,Death,1960
2018,IN,Injury,67842
2018,M,Malfunction,139481
2019,D,Death,1949
2019,IN,Injury,111973
2019,M,Malfunction,152097
2020,D,Death,1894
2020,IN,Injury,121963
2020,M,Malfunction,188822
2020,O,Other,1
2021,D,Death,1913
2021,IN,Injury,163749
2021,M,Malfunction,239628
2022,D,Death,1939
2022,IN,Injury,167143
2022,M,Malfunction,419582
2023,D,Death,2588
2023,IN,Injury,181642
2023,M,Malfunction,283302
2023,O,Other,67
2024,D,Death,3004
2024,IN,Injury,225315
2024,M,Malfunction,296699
2024,O,Other,98
2025,D,Death,2654
2025,IN,Injury,228269
2025,M,Malfunction,347164
2025,O,Other,36
