MANUFACTURER_G1_NAME,EVENT_TYPE,EVENT_LABEL,COUNT
CAREFUSION SD,M,Malfunction,202926
MEDTRONIC PUERTO RICO OPERATIONS CO.,M,Malfunction,189166
INSTITUT STRAUMANN AG,IN,Injury,135898
NOBEL BIOCARE AB,IN,Injury,59489
MEDTRONIC MINIMED,M,Malfunction,43021
"RESPIRONICS, INC.",M,Malfunction,41482
INSULET CORPORATION,M,Malfunction,33267
NOBEL BIOCARE AB GÖTEBORG,IN,Injury,31579
DENTSPLY IMPLANTS MANUFACTURING GMBH,IN,Injury,30524
BOSTON SCIENTIFIC CORPORATION,IN,Injury,29551
JJGC S.A.,IN,Injury,29493
MEDTRONIC PUERTO RICO OPERATIONS CO.,IN,Injury,22809
MIS IMPLANTS TECHNOLOGIES LTD.,IN,Injury,21157
ALLERGAN (COSTA RICA),IN,Injury,19980
"AIZU OLYMPUS CO., LTD.",M,Malfunction,18437
BOSTON SCIENTIFIC CORPORATION,M,Malfunction,16968
NOBEL BIOCARE USA INC,IN,Injury,15889
"INTUITIVE SURGICAL, INC",M,Malfunction,14378
MENTOR TEXAS,IN,Injury,12694
"SHIRAKAWA OLYMPUS CO., LTD.",M,Malfunction,12631
MPRI,M,Malfunction,12551
MPRI,IN,Injury,11627
"RESPIRONICS, INC.",IN,Injury,10071
"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",IN,Injury,9855
"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",M,Malfunction,9719
INSULET CORPORATION,IN,Injury,3409
"INTUITIVE SURGICAL, INC",IN,Injury,1904
NOBEL BIOCARE AB,M,Malfunction,1086
"RESPIRONICS, INC.",D,Death,1001
MEDTRONIC MINIMED,IN,Injury,949
BOSTON SCIENTIFIC CORPORATION,D,Death,456
NOBEL BIOCARE USA INC,M,Malfunction,442
MEDTRONIC PUERTO RICO OPERATIONS CO.,D,Death,404
"AIZU OLYMPUS CO., LTD.",IN,Injury,385
MPRI,D,Death,322
"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",D,Death,320
MENTOR TEXAS,M,Malfunction,260
"SHIRAKAWA OLYMPUS CO., LTD.",IN,Injury,125
ALLERGAN (COSTA RICA),M,Malfunction,116
"INTUITIVE SURGICAL, INC",D,Death,97
CAREFUSION SD,IN,Injury,94
NOBEL BIOCARE AB GÖTEBORG,M,Malfunction,87
DENTSPLY IMPLANTS MANUFACTURING GMBH,M,Malfunction,38
CAREFUSION SD,D,Death,30
MEDTRONIC MINIMED,D,Death,20
"AIZU OLYMPUS CO., LTD.",D,Death,13
INSULET CORPORATION,D,Death,13
ALLERGAN (COSTA RICA),D,Death,8
"SHIRAKAWA OLYMPUS CO., LTD.",D,Death,6
MIS IMPLANTS TECHNOLOGIES LTD.,M,Malfunction,3
